LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
2970                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
3002                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
301                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
3028                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
3043                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
3068                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
3070                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
310                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
3109                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
318                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
319                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
321                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
3240                            1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
327                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
329                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
331                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
332                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
346                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
348                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
350                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
354                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
355                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
357                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
359                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
364                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
391                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
417                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
459                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
577                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
582                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
597                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
601                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
617                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
621                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
640                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
738                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
752                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
756                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
771                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
786                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
789                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
892                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
936                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
950                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
960                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
975                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
990                             1                   0.00100             21                  3.54                5.93                n/a                 n/a                 n/a                 528125              184375              F 
1951                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182625              F 
1976                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182625              F 
230                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182625              F 
2312                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182625              F 
2330                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182625              F 
2649                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182625              F 
532                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182625              F 
918                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182625              F 
1585                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182625              F 
2025                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182625              F 
2628                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182625              F 
2997                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182625              F 
3268                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182625              F 
1047                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
1183                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
1187                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
1557                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
1566                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
1567                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
1696                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
1762                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
1947                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
2280                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
